Gene_ID,uncleaned,cloak,divvier,taper,divvierpf,gene_cloak,gene_divvier,gene_taper,gene_divvierpf,propagate
27,0.870098582,0.849098582,0.930098582,0.883098582,0.924098582,0.908098582,0.909098582,0.929098582,0.933098582,0.932098582
28,0.496961513,0.545961513,0.523961513,0.482961513,0.515961513,0.601961513,0.567961513,0.564961513,0.585961513,0.576961513
29,0.660338718,0.738338718,0.704338718,0.761338718,0.720338718,0.748338718,0.710338718,0.727338718,0.738338718,0.745338718
30,0.69834876,0.72434876,0.75234876,0.75834876,0.73834876,0.80034876,0.74034876,0.77434876,0.72534876,0.78334876
31,0.620930035,0.712930035,0.729930035,0.710930035,0.735930035,0.671930035,0.652930035,0.674930035,0.631930035,0.702930035
32,0.468373842,0.532373842,0.500373842,0.460373842,0.536373842,0.544373842,0.526373842,0.560373842,0.532373842,0.568373842
33,0.738300993,0.800300993,0.765300993,0.780300993,0.768300993,0.803300993,0.784300993,0.760300993,0.764300993,0.812300993
34,0.528826955,0.571826955,0.533826955,0.526826955,0.576826955,0.617826955,0.611826955,0.611826955,0.580826955,0.598826955
35,0.660057352,0.649057352,0.698057352,0.698057352,0.686057352,0.716057352,0.676057352,0.699057352,0.685057352,0.716057352
36,0.811419792,0.826419792,0.839419792,0.824419792,0.864419792,0.915419792,0.915419792,0.910419792,0.884419792,0.905419792
37,0.595317932,0.624317932,0.591317932,0.613317932,0.627317932,0.637317932,0.641317932,0.617317932,0.606317932,0.637317932
38,0.459438698,0.538438698,0.496438698,0.521438698,0.534438698,0.573438698,0.528438698,0.552438698,0.513438698,0.495438698
39,0.588375261,0.641375261,0.642375261,0.622375261,0.692375261,0.704375261,0.649375261,0.681375261,0.648375261,0.656375261
40,0.592137444,0.671137444,0.681137444,0.632137444,0.673137444,0.671137444,0.650137444,0.579137444,0.627137444,0.663137444
41,0.634598607,0.679598607,0.684598607,0.633598607,0.723598607,0.693598607,0.686598607,0.744598607,0.688598607,0.737598607
42,0.502839721,0.498839721,0.544839721,0.501839721,0.592839721,0.556839721,0.539839721,0.538839721,0.524839721,0.542839721
43,0.596227876,0.660227876,0.652227876,0.640227876,0.671227876,0.654227876,0.629227876,0.663227876,0.668227876,0.666227876
44,0.699654186,0.721654186,0.714654186,0.682654186,0.758654186,0.821654186,0.768654186,0.762654186,0.793654186,0.811654186
45,0.697281626,0.717281626,0.725281626,0.757281626,0.825281626,0.777281626,0.766281626,0.725281626,0.733281626,0.732281626
46,0.633004532,0.667004532,0.685004532,0.650004532,0.655004532,0.706004532,0.687004532,0.719004532,0.675004532,0.682004532
47,0.818327877,0.824327877,0.906327877,0.831327877,0.873327877,0.932327877,0.885327877,0.877327877,0.872327877,0.923327877
48,0.559049448,0.592049448,0.583049448,0.614049448,0.629049448,0.617049448,0.613049448,0.611049448,0.573049448,0.636049448
49,0.590596824,0.587596824,0.594596824,0.575596824,0.635596824,0.639596824,0.599596824,0.624596824,0.635596824,0.654596824
50,0.613642462,0.705642462,0.704642462,0.671642462,0.632642462,0.652642462,0.638642462,0.638642462,0.651642462,0.664642462
51,0.667893484,0.628893484,0.684893484,0.693893484,0.718893484,0.759893484,0.720893484,0.721893484,0.711893484,0.705893484
52,0.749710652,0.755710652,0.748710652,0.745710652,0.793710652,0.806710652,0.833710652,0.810710652,0.831710652,0.805710652
53,0.611394601,0.675394601,0.658394601,0.704394601,0.707394601,0.657394601,0.665394601,0.683394601,0.677394601,0.698394601
54,0.644159198,0.624159198,0.666159198,0.634159198,0.648159198,0.723159198,0.719159198,0.734159198,0.719159198,0.703159198
55,0.457276747,0.489276747,0.495276747,0.515276747,0.541276747,0.500276747,0.478276747,0.483276747,0.514276747,0.535276747
56,0.542065649,0.621065649,0.616065649,0.612065649,0.679065649,0.653065649,0.601065649,0.615065649,0.593065649,0.636065649
57,0.725288437,0.770288437,0.803288437,0.772288437,0.801288437,0.833288437,0.809288437,0.801288437,0.781288437,0.826288437
58,0.714719798,0.718719798,0.800719798,0.761719798,0.783719798,0.754719798,0.701719798,0.744719798,0.721719798,0.797719798
59,0.537925891,0.638925891,0.665925891,0.559925891,0.601925891,0.632925891,0.588925891,0.649925891,0.621925891,0.613925891
60,0.754898327,0.743898327,0.857898327,0.807898327,0.767898327,0.837898327,0.805898327,0.842898327,0.819898327,0.827898327
61,0.620977169,0.654977169,0.671977169,0.706977169,0.700977169,0.700977169,0.677977169,0.677977169,0.646977169,0.680977169
62,0.809595731,0.828595731,0.874595731,0.837595731,0.918595731,0.887595731,0.886595731,0.909595731,0.892595731,0.898595731
63,0.593711277,0.653711277,0.632711277,0.649711277,0.631711277,0.656711277,0.642711277,0.641711277,0.639711277,0.651711277
64,0.919183837,0.897183837,0.983183837,0.972183837,1.033183837,1.016183837,0.943183837,0.992183837,0.969183837,0.967183837
65,0.741129008,0.706129008,0.761129008,0.754129008,0.810129008,0.815129008,0.790129008,0.838129008,0.816129008,0.825129008
66,0.64938395,0.72238395,0.74538395,0.67438395,0.68838395,0.72238395,0.68138395,0.70238395,0.69838395,0.69538395
67,0.740714888,0.738714888,0.804714888,0.762714888,0.842714888,0.837714888,0.787714888,0.818714888,0.807714888,0.814714888
68,0.576044946,0.571044946,0.599044946,0.560044946,0.567044946,0.647044946,0.610044946,0.611044946,0.613044946,0.606044946
69,0.730614587,0.776614587,0.806614587,0.780614587,0.733614587,0.774614587,0.738614587,0.791614587,0.764614587,0.803614587
70,0.705487677,0.727487677,0.783487677,0.763487677,0.769487677,0.769487677,0.769487677,0.737487677,0.789487677,0.766487677
71,0.852163556,0.856163556,0.884163556,0.814163556,0.949163556,0.919163556,0.903163556,0.882163556,0.923163556,0.931163556
72,0.506129175,0.557129175,0.566129175,0.538129175,0.587129175,0.528129175,0.525129175,0.524129175,0.539129175,0.562129175
73,0.634770844,0.639770844,0.656770844,0.665770844,0.716770844,0.723770844,0.657770844,0.685770844,0.704770844,0.735770844
74,0.639488858,0.662488858,0.669488858,0.667488858,0.731488858,0.678488858,0.672488858,0.686488858,0.692488858,0.707488858
75,0.568661825,0.643661825,0.653661825,0.594661825,0.645661825,0.617661825,0.622661825,0.628661825,0.619661825,0.643661825
76,0.715630738,0.744630738,0.785630738,0.745630738,0.732630738,0.779630738,0.760630738,0.779630738,0.764630738,0.770630738
77,0.641233751,0.681233751,0.644233751,0.659233751,0.705233751,0.729233751,0.709233751,0.693233751,0.699233751,0.710233751
78,0.563878178,0.596878178,0.599878178,0.626878178,0.642878178,0.620878178,0.589878178,0.640878178,0.641878178,0.613878178
79,0.649236508,0.670236508,0.666236508,0.643236508,0.682236508,0.701236508,0.686236508,0.713236508,0.675236508,0.685236508
80,0.426165826,0.426165826,0.471165826,0.411165826,0.488165826,0.537165826,0.463165826,0.472165826,0.465165826,0.474165826
81,0.592781081,0.607781081,0.613781081,0.606781081,0.608781081,0.625781081,0.637781081,0.640781081,0.628781081,0.654781081
82,0.797804411,0.805804411,0.839804411,0.852804411,0.833804411,0.858804411,0.859804411,0.836804411,0.855804411,0.896804411
83,0.450966803,0.526966803,0.546966803,0.506966803,0.544966803,0.504966803,0.495966803,0.515966803,0.487966803,0.512966803
84,0.510345248,0.586345248,0.582345248,0.566345248,0.555345248,0.592345248,0.561345248,0.573345248,0.580345248,0.593345248
85,0.637534805,0.623534805,0.661534805,0.654534805,0.696534805,0.698534805,0.685534805,0.692534805,0.697534805,0.689534805
86,0.621159062,0.648159062,0.680159062,0.660159062,0.721159062,0.643159062,0.623159062,0.633159062,0.607159062,0.642159062
87,0.536343264,0.510343264,0.612343264,0.599343264,0.562343264,0.630343264,0.620343264,0.598343264,0.600343264,0.601343264
88,0.667087688,0.703087688,0.726087688,0.684087688,0.771087688,0.762087688,0.723087688,0.786087688,0.732087688,0.757087688
89,0.643931588,0.671931588,0.724931588,0.679931588,0.691931588,0.752931588,0.722931588,0.729931588,0.721931588,0.708931588
90,0.668071846,0.729071846,0.655071846,0.744071846,0.710071846,0.767071846,0.754071846,0.744071846,0.741071846,0.755071846
91,0.618661046,0.663661046,0.714661046,0.658661046,0.652661046,0.700661046,0.649661046,0.707661046,0.680661046,0.677661046
92,0.688320552,0.716320552,0.755320552,0.767320552,0.729320552,0.742320552,0.724320552,0.716320552,0.727320552,0.761320552
93,0.47289129,0.51589129,0.52289129,0.54289129,0.54089129,0.53889129,0.52989129,0.52889129,0.51389129,0.52289129
94,0.673308312,0.729308312,0.736308312,0.681308312,0.692308312,0.777308312,0.738308312,0.759308312,0.750308312,0.760308312
95,0.749782403,0.723782403,0.732782403,0.713782403,0.760782403,0.832782403,0.772782403,0.824782403,0.808782403,0.830782403
96,0.581148382,0.580148382,0.620148382,0.573148382,0.634148382,0.649148382,0.645148382,0.644148382,0.634148382,0.668148382
97,0.795771175,0.811771175,0.886771175,0.833771175,0.898771175,0.889771175,0.845771175,0.873771175,0.802771175,0.866771175
98,0.615896885,0.640896885,0.665896885,0.595896885,0.621896885,0.706896885,0.644896885,0.697896885,0.685896885,0.690896885
99,0.720607775,0.784607775,0.776607775,0.789607775,0.831607775,0.733607775,0.758607775,0.749607775,0.761607775,0.761607775
100,0.472878124,0.477878124,0.503878124,0.508878124,0.567878124,0.540878124,0.514878124,0.537878124,0.524878124,0.534878124
101,0.649937824,0.690937824,0.705937824,0.663937824,0.727937824,0.753937824,0.727937824,0.777937824,0.705937824,0.749937824
102,0.595957954,0.648957954,0.672957954,0.679957954,0.654957954,0.633957954,0.665957954,0.631957954,0.631957954,0.667957954
103,0.659308528,0.706308528,0.697308528,0.678308528,0.651308528,0.743308528,0.728308528,0.721308528,0.733308528,0.728308528
104,0.784848354,0.831848354,0.853848354,0.797848354,0.903848354,0.875848354,0.858848354,0.840848354,0.832848354,0.849848354
105,0.726993181,0.724993181,0.769993181,0.704993181,0.805993181,0.712993181,0.756993181,0.746993181,0.730993181,0.732993181
106,0.589169831,0.616169831,0.649169831,0.616169831,0.619169831,0.670169831,0.635169831,0.646169831,0.635169831,0.670169831
107,0.878657823,0.915657823,0.938657823,0.914657823,0.953657823,0.975657823,0.972657823,1.002657823,0.947657823,0.979657823
108,0.819731187,0.834731187,0.864731187,0.845731187,0.857731187,0.903731187,0.859731187,0.854731187,0.879731187,0.891731187
109,0.5938103,0.5878103,0.6198103,0.5978103,0.6318103,0.6408103,0.6188103,0.6298103,0.6488103,0.6698103
110,0.719182864,0.795182864,0.773182864,0.768182864,0.826182864,0.802182864,0.752182864,0.755182864,0.747182864,0.780182864
111,0.679149106,0.763149106,0.725149106,0.714149106,0.747149106,0.784149106,0.776149106,0.770149106,0.781149106,0.774149106
112,0.594504204,0.628504204,0.664504204,0.660504204,0.629504204,0.684504204,0.638504204,0.654504204,0.647504204,0.637504204
113,0.681822349,0.670822349,0.760822349,0.761822349,0.735822349,0.763822349,0.753822349,0.764822349,0.771822349,0.739822349
114,0.595795997,0.606795997,0.577795997,0.571795997,0.605795997,0.685795997,0.640795997,0.653795997,0.666795997,0.654795997
115,0.568270143,0.538270143,0.598270143,0.583270143,0.594270143,0.636270143,0.598270143,0.609270143,0.587270143,0.606270143
116,0.684318812,0.688318812,0.769318812,0.722318812,0.759318812,0.750318812,0.686318812,0.707318812,0.708318812,0.743318812
117,0.725185707,0.809185707,0.822185707,0.787185707,0.822185707,0.789185707,0.765185707,0.771185707,0.751185707,0.796185707
118,0.639666257,0.699666257,0.669666257,0.653666257,0.686666257,0.706666257,0.746666257,0.758666257,0.765666257,0.737666257
119,0.747003804,0.793003804,0.834003804,0.841003804,0.870003804,0.778003804,0.743003804,0.739003804,0.759003804,0.818003804
120,0.565059482,0.641059482,0.694059482,0.600059482,0.703059482,0.642059482,0.621059482,0.638059482,0.629059482,0.625059482
121,0.898439051,0.957439051,0.981439051,0.909439051,0.948439051,0.958439051,0.936439051,0.986439051,0.944439051,0.956439051
122,0.60211434,0.61211434,0.60911434,0.60511434,0.61211434,0.68711434,0.63211434,0.66111434,0.63611434,0.66511434
123,0.687050704,0.671050704,0.674050704,0.639050704,0.668050704,0.782050704,0.772050704,0.763050704,0.763050704,0.754050704
124,0.975002743,1.041002743,1.041002743,1.024002743,1.027002743,1.023002743,1.031002743,1.038002743,1.035002743,1.041002743
125,0.737894188,0.740894188,0.724894188,0.730894188,0.793894188,0.789894188,0.800894188,0.757894188,0.770894188,0.783894188
126,0.76449111,0.77849111,0.78549111,0.82049111,0.77849111,0.81049111,0.79849111,0.83249111,0.78749111,0.81549111
127,0.81818844,0.85018844,0.88018844,0.83518844,0.84018844,0.88518844,0.86818844,0.89218844,0.87518844,0.87518844
128,0.697165995,0.730165995,0.792165995,0.778165995,0.777165995,0.803165995,0.783165995,0.791165995,0.782165995,0.754165995
129,0.621486815,0.652486815,0.692486815,0.686486815,0.708486815,0.685486815,0.692486815,0.686486815,0.662486815,0.700486815
130,0.509583904,0.534583904,0.563583904,0.545583904,0.623583904,0.584583904,0.546583904,0.542583904,0.545583904,0.542583904
131,0.647192319,0.690192319,0.682192319,0.688192319,0.716192319,0.734192319,0.693192319,0.698192319,0.708192319,0.731192319
132,0.455845941,0.534845941,0.560845941,0.503845941,0.579845941,0.575845941,0.524845941,0.523845941,0.552845941,0.525845941
133,0.582163231,0.603163231,0.620163231,0.574163231,0.664163231,0.656163231,0.639163231,0.664163231,0.621163231,0.655163231
134,0.631484486,0.620484486,0.664484486,0.663484486,0.649484486,0.677484486,0.668484486,0.689484486,0.652484486,0.700484486
135,0.495574051,0.520574051,0.516574051,0.538574051,0.503574051,0.601574051,0.561574051,0.548574051,0.548574051,0.590574051
136,0.634777113,0.676777113,0.705777113,0.688777113,0.672777113,0.747777113,0.710777113,0.718777113,0.738777113,0.711777113
137,0.6847417,0.7197417,0.7247417,0.6937417,0.7207417,0.7837417,0.7387417,0.7447417,0.7527417,0.7347417
138,0.73926624,0.73326624,0.73626624,0.75026624,0.79326624,0.85426624,0.81326624,0.81526624,0.83926624,0.79726624
139,0.74201152,0.69501152,0.75901152,0.74601152,0.81301152,0.77801152,0.75501152,0.74101152,0.77001152,0.78801152
140,0.62957116,0.65457116,0.63057116,0.64057116,0.70657116,0.70157116,0.68257116,0.66257116,0.68057116,0.69957116
141,0.472129055,0.544129055,0.567129055,0.548129055,0.557129055,0.566129055,0.487129055,0.569129055,0.495129055,0.532129055
142,0.727059018,0.775059018,0.803059018,0.788059018,0.845059018,0.824059018,0.790059018,0.740059018,0.821059018,0.814059018
143,0.810112126,0.798112126,0.857112126,0.816112126,0.885112126,0.915112126,0.904112126,0.876112126,0.886112126,0.921112126
144,0.569905003,0.584905003,0.630905003,0.575905003,0.622905003,0.632905003,0.602905003,0.598905003,0.586905003,0.583905003
145,0.676921497,0.637921497,0.696921497,0.663921497,0.671921497,0.728921497,0.734921497,0.770921497,0.722921497,0.710921497
146,0.62425568,0.61025568,0.64225568,0.65225568,0.66825568,0.70725568,0.69925568,0.71525568,0.68025568,0.67225568
147,0.677354673,0.749354673,0.742354673,0.720354673,0.739354673,0.728354673,0.745354673,0.754354673,0.737354673,0.762354673
148,0.755356682,0.767356682,0.825356682,0.749356682,0.809356682,0.854356682,0.822356682,0.804356682,0.803356682,0.793356682
149,0.611901229,0.652901229,0.739901229,0.648901229,0.700901229,0.674901229,0.669901229,0.673901229,0.647901229,0.697901229
150,0.645572831,0.661572831,0.709572831,0.711572831,0.720572831,0.715572831,0.673572831,0.660572831,0.695572831,0.667572831
151,0.660690892,0.653690892,0.623690892,0.633690892,0.674690892,0.727690892,0.744690892,0.739690892,0.732690892,0.729690892
152,0.576506976,0.625506976,0.652506976,0.644506976,0.625506976,0.655506976,0.629506976,0.627506976,0.618506976,0.630506976
153,0.508025363,0.510025363,0.546025363,0.513025363,0.505025363,0.592025363,0.575025363,0.585025363,0.537025363,0.568025363
154,0.544232084,0.572232084,0.624232084,0.646232084,0.602232084,0.635232084,0.600232084,0.603232084,0.574232084,0.622232084
155,0.582448484,0.623448484,0.630448484,0.614448484,0.663448484,0.678448484,0.646448484,0.668448484,0.613448484,0.637448484
156,0.862611355,0.893611355,0.903611355,0.932611355,0.933611355,0.955611355,0.919611355,0.940611355,0.931611355,0.902611355
157,0.479591608,0.533591608,0.525591608,0.544591608,0.565591608,0.536591608,0.515591608,0.534591608,0.512591608,0.520591608
158,0.592414402,0.643414402,0.636414402,0.635414402,0.664414402,0.624414402,0.646414402,0.681414402,0.634414402,0.656414402
159,0.522199183,0.577199183,0.582199183,0.586199183,0.587199183,0.608199183,0.614199183,0.607199183,0.578199183,0.630199183
160,0.497699438,0.534699438,0.593699438,0.578699438,0.575699438,0.550699438,0.551699438,0.583699438,0.572699438,0.593699438
161,0.654253128,0.721253128,0.737253128,0.733253128,0.738253128,0.768253128,0.725253128,0.775253128,0.756253128,0.760253128
162,0.734416666,0.754416666,0.806416666,0.802416666,0.778416666,0.785416666,0.767416666,0.802416666,0.786416666,0.793416666
163,0.589531915,0.672531915,0.683531915,0.678531915,0.711531915,0.640531915,0.601531915,0.640531915,0.600531915,0.599531915
164,0.611334637,0.580334637,0.599334637,0.644334637,0.625334637,0.683334637,0.666334637,0.655334637,0.661334637,0.701334637
165,0.539783106,0.576783106,0.627783106,0.534783106,0.600783106,0.595783106,0.609783106,0.602783106,0.614783106,0.609783106
166,0.804834001,0.804834001,0.838834001,0.841834001,0.890834001,0.880834001,0.843834001,0.839834001,0.846834001,0.858834001
167,0.513408103,0.514408103,0.547408103,0.505408103,0.522408103,0.612408103,0.537408103,0.585408103,0.540408103,0.590408103
168,0.487294429,0.515294429,0.537294429,0.555294429,0.559294429,0.556294429,0.544294429,0.565294429,0.530294429,0.561294429
169,0.522584919,0.565584919,0.557584919,0.547584919,0.551584919,0.602584919,0.587584919,0.570584919,0.575584919,0.589584919
170,0.699526033,0.694526033,0.713526033,0.729526033,0.766526033,0.781526033,0.743526033,0.761526033,0.743526033,0.759526033
171,0.587760492,0.599760492,0.645760492,0.673760492,0.681760492,0.675760492,0.636760492,0.663760492,0.631760492,0.637760492
172,0.520697774,0.511697774,0.558697774,0.551697774,0.523697774,0.571697774,0.554697774,0.534697774,0.571697774,0.582697774
173,0.467384206,0.471384206,0.480384206,0.496384206,0.523384206,0.534384206,0.515384206,0.533384206,0.477384206,0.533384206
174,0.558731332,0.622731332,0.639731332,0.594731332,0.612731332,0.648731332,0.586731332,0.610731332,0.566731332,0.615731332
175,0.732032449,0.793032449,0.819032449,0.839032449,0.860032449,0.758032449,0.727032449,0.717032449,0.721032449,0.745032449
176,0.834931001,0.852931001,0.853931001,0.843931001,0.894931001,0.868931001,0.873931001,0.879931001,0.870931001,0.878931001
177,0.87267741,0.90267741,0.89867741,0.89367741,0.91167741,0.93567741,0.91267741,0.92267741,0.90967741,0.94367741
178,0.650002764,0.699002764,0.698002764,0.694002764,0.709002764,0.738002764,0.711002764,0.762002764,0.702002764,0.731002764
179,0.514980265,0.590980265,0.590980265,0.550980265,0.613980265,0.579980265,0.584980265,0.597980265,0.594980265,0.572980265
180,0.542092846,0.599092846,0.582092846,0.590092846,0.591092846,0.624092846,0.576092846,0.594092846,0.576092846,0.579092846
181,0.640355076,0.697355076,0.723355076,0.675355076,0.695355076,0.686355076,0.662355076,0.660355076,0.639355076,0.660355076
182,0.469089309,0.493089309,0.519089309,0.526089309,0.529089309,0.561089309,0.528089309,0.541089309,0.517089309,0.555089309
183,0.647851599,0.670851599,0.683851599,0.669851599,0.728851599,0.730851599,0.708851599,0.723851599,0.716851599,0.735851599
184,0.567067981,0.655067981,0.618067981,0.602067981,0.610067981,0.622067981,0.612067981,0.621067981,0.607067981,0.625067981
185,0.676512979,0.710512979,0.763512979,0.744512979,0.713512979,0.752512979,0.730512979,0.786512979,0.744512979,0.729512979
186,0.697509734,0.712509734,0.769509734,0.729509734,0.705509734,0.725509734,0.748509734,0.757509734,0.724509734,0.766509734
187,0.676735329,0.694735329,0.735735329,0.683735329,0.739735329,0.728735329,0.703735329,0.682735329,0.661735329,0.715735329
188,0.548421557,0.592421557,0.613421557,0.591421557,0.616421557,0.594421557,0.570421557,0.610421557,0.578421557,0.638421557
189,0.681386062,0.791386062,0.754386062,0.799386062,0.766386062,0.750386062,0.714386062,0.731386062,0.684386062,0.720386062
190,0.575312522,0.615312522,0.707312522,0.637312522,0.691312522,0.654312522,0.629312522,0.631312522,0.645312522,0.592312522
191,0.59314051,0.63014051,0.63514051,0.59214051,0.64814051,0.64414051,0.62514051,0.56714051,0.63814051,0.60514051
192,0.782758267,0.778758267,0.787758267,0.789758267,0.742758267,0.880758267,0.837758267,0.856758267,0.833758267,0.856758267
193,0.609779225,0.679779225,0.644779225,0.636779225,0.701779225,0.687779225,0.671779225,0.674779225,0.680779225,0.650779225
194,0.750155082,0.761155082,0.778155082,0.749155082,0.762155082,0.854155082,0.815155082,0.819155082,0.813155082,0.829155082
195,0.594905607,0.580905607,0.596905607,0.597905607,0.562905607,0.664905607,0.628905607,0.642905607,0.651905607,0.644905607
196,0.549980507,0.577980507,0.586980507,0.556980507,0.623980507,0.667980507,0.603980507,0.631980507,0.611980507,0.638980507
197,0.517989866,0.563989866,0.561989866,0.552989866,0.531989866,0.571989866,0.558989866,0.572989866,0.536989866,0.610989866
198,0.639050874,0.721050874,0.699050874,0.614050874,0.749050874,0.710050874,0.674050874,0.705050874,0.688050874,0.680050874
199,0.599924367,0.629924367,0.671924367,0.684924367,0.666924367,0.673924367,0.682924367,0.648924367,0.634924367,0.666924367
200,0.527165748,0.537165748,0.546165748,0.555165748,0.637165748,0.609165748,0.584165748,0.609165748,0.586165748,0.630165748
201,0.690376117,0.747376117,0.760376117,0.752376117,0.768376117,0.754376117,0.784376117,0.809376117,0.769376117,0.799376117
202,0.648125017,0.708125017,0.711125017,0.713125017,0.714125017,0.705125017,0.637125017,0.709125017,0.691125017,0.706125017
203,0.47529971,0.51129971,0.55629971,0.52229971,0.47829971,0.52029971,0.49329971,0.51129971,0.46829971,0.50329971
204,0.62329326,0.64229326,0.66729326,0.66629326,0.61229326,0.70129326,0.64829326,0.69129326,0.64229326,0.65529326
205,0.575254693,0.540254693,0.628254693,0.551254693,0.653254693,0.635254693,0.639254693,0.641254693,0.620254693,0.637254693
206,0.714323132,0.668323132,0.706323132,0.680323132,0.715323132,0.776323132,0.758323132,0.747323132,0.739323132,0.746323132
207,0.636648728,0.638648728,0.705648728,0.679648728,0.692648728,0.700648728,0.666648728,0.678648728,0.642648728,0.689648728
208,0.67408399,0.67608399,0.67408399,0.69308399,0.69908399,0.73808399,0.73808399,0.72908399,0.70408399,0.73608399
209,0.875463871,0.884463871,0.924463871,0.902463871,0.938463871,0.964463871,0.924463871,0.894463871,0.932463871,0.924463871
210,0.529176658,0.516176658,0.577176658,0.567176658,0.541176658,0.630176658,0.593176658,0.639176658,0.594176658,0.608176658
211,0.813144221,0.819144221,0.837144221,0.824144221,0.896144221,0.882144221,0.846144221,0.887144221,0.839144221,0.847144221
212,0.808601125,0.863601125,0.900601125,0.883601125,0.902601125,0.916601125,0.877601125,0.843601125,0.866601125,0.907601125
213,0.629598314,0.666598314,0.685598314,0.693598314,0.706598314,0.640598314,0.621598314,0.623598314,0.650598314,0.644598314
214,0.520991536,0.524991536,0.576991536,0.543991536,0.542991536,0.571991536,0.572991536,0.564991536,0.514991536,0.585991536
215,0.602316338,0.626316338,0.637316338,0.627316338,0.630316338,0.651316338,0.653316338,0.639316338,0.608316338,0.684316338
216,0.646562798,0.680562798,0.698562798,0.662562798,0.717562798,0.698562798,0.662562798,0.701562798,0.673562798,0.704562798
217,0.594319077,0.579319077,0.582319077,0.582319077,0.606319077,0.646319077,0.634319077,0.618319077,0.620319077,0.682319077
218,0.636210882,0.661210882,0.680210882,0.599210882,0.628210882,0.686210882,0.686210882,0.705210882,0.687210882,0.718210882
219,0.673497399,0.762497399,0.688497399,0.708497399,0.761497399,0.742497399,0.775497399,0.775497399,0.745497399,0.750497399
220,0.708186281,0.745186281,0.760186281,0.780186281,0.820186281,0.733186281,0.745186281,0.749186281,0.743186281,0.741186281
221,0.826504046,0.863504046,0.923504046,0.879504046,0.888504046,0.865504046,0.842504046,0.907504046,0.872504046,0.884504046
222,0.648614271,0.683614271,0.715614271,0.702614271,0.758614271,0.699614271,0.677614271,0.704614271,0.711614271,0.725614271
223,0.660282295,0.654282295,0.699282295,0.722282295,0.704282295,0.761282295,0.754282295,0.781282295,0.746282295,0.804282295
